"trial","ref_position","var_area","response","correct","rt"
1,"L",8.10501340287738,"L",TRUE,12.6909999847412
2,"L",11.2484986998606,"R",TRUE,2.63900017738342
3,"L",10.4268549135886,"R",TRUE,2.85500001907349
4,"L",13.3280230585951,"R",TRUE,1.85500001907349
5,"L",10.6341705441009,"R",TRUE,1.8199999332428
6,"L",14.6764059739653,"R",TRUE,1.83100008964539
7,"L",12.6241747415625,"R",TRUE,2.07099986076355
8,"R",12.6869331547059,"L",TRUE,2.16100001335144
9,"R",11.4827309548855,"L",TRUE,2.29500007629395
10,"R",11.3499966710806,"L",TRUE,6.24900007247925
11,"R",11.7465154579841,"L",TRUE,2.17799997329712
12,"R",9.62709974800237,"L",TRUE,12.7039999961853
13,"L",10.4416009602137,"R",TRUE,3.06800007820129
14,"L",14.4213594736066,"R",TRUE,1.82799983024597
15,"L",9.01791006163694,"R",TRUE,11.074000120163
16,"R",8.49389167642221,"R",TRUE,4.15000009536743
17,"L",12.4648108875845,"R",TRUE,2.63199996948242
18,"R",8.07163192518055,"R",TRUE,4.50800013542175
19,"L",11.4853852316737,"R",TRUE,1.94799995422363
20,"R",12.7173689513002,"L",TRUE,2.49699997901917